game,rating,platform,genre,release
7 Wonders II,3,Nintendo DS,Puzzle,2009-10-30
7 Wonders of the Ancient World,3,PC,Puzzle,2007-04-20
7 Wonders: Treasures of Seven,3,Nintendo DS,Other,2012-07-18
"7,62 High Calibre",16,PC,Action,2009-03-31
707 Professional,3,PC,Simulation,2005-09-19
727 Professional,3,PC,Simulation,2004-10-29
737 Pilot In Command,3,PC,Simulation,2006-03-17
747-200 Ready for Pushback,3,PC,Simulation,2005-08-12
7554,16,PC,Action,2012-05-01
777 Professional,3,PC,Simulation,2006-01-27
7th Dragon III Code: VFD,12,Nintendo 3DS,RPG,2016-12-02
80 Days,3,PC,Adventure,2005-10-27
88 Heroes,7,PlayStation 4,Action,2016-09-27
88 Heroes,7,PlayStation 4,Action,2017-02-24
88 Heroes,7,Xbox One,Action,2016-09-28
888 Spiele für XP und Vista,12,PC,Other,2008-05-16
8BallAllstars,3,Nintendo DS,Sports,2009-08-06
8DAYS,16,PC,Action,2016-07-23
8DAYS,16,PlayStation 4,Action,2016-07-23
8DAYS,16,Xbox One,Action,2016-07-23
9 Clues,12,PC,Puzzle,2013-12-04
9 Clues 2: The Ward,16,PC,Puzzle,2015-02-28
9 Clues: The Secret of Serpent Creek,12,PC,Puzzle,2013-07-19
9 The Darkside,12,PC,Puzzle,2013-03-29
90's Pool,3,Nintendo DSi - DSiWare,Board / Card,2012-06-26
911 Operator,12,Xbox One,Simulation,2017-09-01
99Bullets,7,Nintendo DSi - DSiWare,Action,2011-05-23
99Moves,3,Nintendo DSi - DSiWare,Action,2013-04-17
99Moves,3,Nintendo Wii U,Action,2014-09-30
99Seconds,3,Nintendo DSi - DSiWare,Action,2012-05-02
99Seconds,3,Nintendo Wii U,Action,2014-06-30
9: Die dunkle Seite von Notre Dame,7,PC,Puzzle,2013-10-30
9: The Dark Side,7,PC,Puzzle,2013-02-27
9th Company: Roots of Terror,16,PC,Strategy,2009-03-06
>Observer_,16,PC,Adventure,2017-07-26
>Observer_,16,PlayStation 4,Adventure,2017-07-25
>Observer_,16,Xbox One,Adventure,2017-07-21
A Bastard's Tale,12,PlayStation 4,Action,2016-09-19
A Boy and His Blob: Trouble on Blobolonia,3,Nintendo Wii - Virtual Console,Action,2009-12-18
A Boy and his Blob,7,Nintendo Wii,Action,2009-10-23
A Boy and his Blob,7,PC,Action,2015-10-29
A Boy and his Blob,7,PlayStation 4,Action,2015-10-29
A Boy and his Blob,7,PlayStation Vita,Action,2015-10-27
A Boy and his Blob,7,Playstation 3,Action,2016-04-29
A Boy and his Blob,7,Xbox One,Action,2015-10-28
A Bug's Life (Activity Centre),3,PC,Educational,2006-06-30
A Christmas Carol,7,Nintendo DS,Adventure,2009-11-06
A Fairy Tale,3,Nintendo DSi - DSiWare,Puzzle,2011-06-01
A Farewell to Dragons,16,PC,RPG,2009-09-15
A Game of Thrones - Genesis,12,PC,Strategy,2011-09-22
A Gypsy's Tale: The Tower of Secrets,7,PC,Puzzle,2011-08-31
A HEALER ONLY LIVES TWICE,7,PlayStation 4,Strategy,2017-03-31
A Hole New World,7,PlayStation 4,RPG,2017-04-18
A Hole New World,7,PlayStation Vita,RPG,2017-04-18
A Hole New World,7,Xbox One,Action,2017-03-21
A King's Tale: FINAL FANTASY XV,12,PlayStation 4,Action,2016-11-29
A King's Tale: FINAL FANTASY XV,12,Xbox One,Action,2016-11-29
A Kingdom For Keflings,7,XBOX 360 Live Arcade,Other,2008-10-31
A Little Bit of... All Time Classics: Family Games,3,Nintendo DSi - DSiWare,Other,2009-11-06
